Item Name,Description,Mfg Part #,Category,Rate,Item Type
GA189,"Lennox, Xion LCX 10 Ton Electric/Electric Packaged Unit, 460v 3ph, MSAV, R-454B, LCX120S5MN",,Equipment,12239.55000,Inventory
GAS CAN,GAS CAN 2 GAL,,Material,85.47000,Non Inventory
GEL TABS RED,"CHEMICAL: 3 TON GEL TABS, 200 COUNT BULK JAR, 4185-04",,Material,5.24000,Non Inventory
GIFT CARD,GIFT CARD,,,0.00000,Non Inventory
GLA06004231,"Glastender 06004231 Evaporator Coil, 14 x 6, 2 Wall Coolers",,Material:Refrigeration,687.99000,Inventory
GLA07000282,Glastender 07000282 Digital Controller with White Display and Black Buttons,,Material:Refrigeration,431.33000,Inventory
GLA09000764,"Glastender 09000764 Expansion Valve/TXV Kit with 30"" Capillary, R134A/R513A, 1/4"" ODF Inlet x 3/8"" ODF Outlet",,Material:Refrigeration,266.25000,Inventory
GLUE BRUSH RED,QT HEAVY DUTY GLUE BRUSH RED,,Material:PVC,0.00000,Non Inventory
GM40AV,"Grasslin by Intermatic GM40AV 24-Hour Electromechanical, 40A, SPDT/DPDT, Auto-Voltage, NEMA 3R Outdoor Plastic Enclosure | SPDT/DPDT, Electromechanica",,Material,322.03000,Inventory
GREASE CARTRIDGE TUBE,GREASE CARTRIDGE TUBE REFILLS,,Material,0.00000,Non Inventory
GREASE GUN,PISTOL GRIP GREASE GUN WITH HOSE,,Material,0.00000,Non Inventory
GRIPPLE CUTTER,"GRIPPLE UL Approved Small Cable Cutter, U.S.A",,Material,205.26000,Non Inventory
GRIPPLE LOOP HANGER#3X10',"GRIPPLE UL Approved No.3 x 10' Loop Hanger HF3-LG-10FT, U.S.A Made",,Material,72.23000,Inventory
GRUNDFOS CR10-3,GRUNDFOS CR10-3 WITH 3 HP 3 PHASE TEFC MOTOR,,Material,10030.90000,Inventory
HAND SCRUBS,"Hand cleaner towel, ""Scrubs TM"", 72 sheets",,Material,0.00000,Non Inventory
HAND TRUCK,COSCO 3-in-1 Convertible Hand Truck,,Material,363.78000,Non Inventory
HARDWARE,"MISC HARDWARE (nuts, bolts, washers)",,Material,0.00000,Non Inventory
HD GRAY PVC GLUE,"OATEY Pipe Cement: Heavy Duty, 16 Fl oz, Brush-Top Can, Gray",,Material,97.94000,Non Inventory
HD HOSE 100',"HEAVY DUTY 5/8""X100' HOSE",,Material,224.64000,Non Inventory
HD HOSE 25',,,Material,128.31000,Non Inventory
HD HOSE 50',"HEAVY DUTY 5/8""X50' HOSE",,Material,192.47000,Non Inventory
HEAT SEQUENCER,Therm-O-Disc Heat Sequencer THERM-O DISC HT SEQUENCER,,Material,82.09000,Inventory
HEATCRAFT ELECT TXV,HEATCRAFT ELECT. TXV E2V24BWAE0 29326201,,Material:Refrigeration,1207.39000,Inventory
HEX AND  HUB,HEX AND ROUND HUB,,Material,99.05000,Inventory
"""HEX NUTS-1/4""""","Coarse Finished Hex Nuts, 1/4-20, Piece-100",,Material,0.42000,Non Inventory
HEX NUTS-3/8,"3/8"" HEX NUTS",HDWN38,Material,0.77000,Non Inventory
HH79NZ086,CARRIER Factory Authorized Parts™ - HH79NZ086 Thermistor,,Material,150.90000,Inventory
HK38EA023,CARRIER Factory Authorized Parts™ - HK38EA023 Defrost Circuit Board,,Material,2357.33000,Inventory
HK50AA063,CARRIER Factory Authorized Parts™ - HK50AA063 Standard Tier Display,,Material,3303.52000,Inventory
HOLE CUTTER BIT,HOLE CUTTER BIT,,Material,0.00000,Non Inventory
"""HOLE SAW W/ARBOR 4""""","HOLE SAW W/ARBOR 4""",,Material,166.88000,Non Inventory
HONH6062A1000,HONEYWELL HONH6062A1000 DIGITAL HUMIDITY CONTROL,,Material,294.26000,Inventory
HORIZONTAL AHU BUNDLE,HORIZONTAL AHU INSTALL PARTS BUNDLE,,Material,3204.00000,Bundle
HOS4A6148G01,Hoshizaki 4A6148G01 Ultrasonic Bin Sensor,,Material:Refrigeration,194.74000,Inventory
HOS4A6838-01,"Hoshizaki 4A6838-01 Control Board, Ultrasonic Bin",,Material:Refrigeration,235.94000,Inventory
HOSE CLAMP 1/4X5/8 SS,5/16 - 5/8 in. Stainless Steel Hose Clamp,,Material,8.99000,Inventory
HOSE CLAMP 13/16 X 1 3/4,13/16-1 3/4 HOSE CLAMP,,Material,11.56000,Non Inventory
HOSE NOZZLE,REAR TRIGGER METAL HOSE NOZZLE,,Material,51.23000,Non Inventory
HOS-PA0613,Hoshizaki Pump Motor Assembly PA0613,,Material:Refrigeration,1879.54000,Inventory
HOSSP-0731,"Hoshizaki S-0731 Pump and Motor Assembly, KM-1300",,Material:Refrigeration,1951.47000,Inventory
Hours,,,,0.00000,Non Inventory
HR81LG020,CARRIER Factory Authorized Parts™ - HR81LG020 Flow Switch,,Material,1145.76000,Inventory
HRH044U4LP6A,"HRH044U4LP6A COMPRESSOR SCROLL 460/3/60 44,000 BTU",HRH044U4LP6A,Material,1404.23000,Inventory
HS31EC,"High static inline evaporator, 4471 BUTH R134a, 115/1/60",HS31EC,Equipment,7320.94000,Inventory
HUB-H1,"HUB-H1 1"" BORE H-SPLIT TAPER BUSHING",,Material,66.56000,Inventory
HVAC-SS-1X48,"CH100048FM1000 HVAC-SS-1X48 STAINLESS HOSE ASSY CHAMFLEX BRAID 48""",,Material,263.38000,Inventory
HZ322K,"True ZONE Kit with DATS, Transformer and HZ322 Panel",,Material,550.42000,Inventory
I2000 Everpure Cartridge,"i2000² Cartridge; Application: Scale, Taste, Odor & 1/2 Micron Particulate Removal; Gallon Capacity: 9,000",9612-27,Material,294.22000,Inventory
IMC,IMC Service Agreement Monthly Billing.  \CR,,,0.00000,Non Inventory
IMC Contract,Parts & Labor covered under contract,,,0.00000,Non Inventory
Infrared Sensor,IR CELL FOR D-TEK SELECT Replacement Sensor,,Material,0.00000,Non Inventory
INSTALL,,,,0.00000,Non Inventory
INSTALL LABOR,LABOR FOR INSTALL ON JOBS,,Material,0.00000,Non Inventory
INSUL ADHESIV,TUB1ADH 1 PT INSULATION ADHESIVE,,Material,80.81000,Non Inventory
ISOPAD,18X18X3/4 PAD/WAFFLE VIBRATION ISOPAD,,Material,128.49000,Non Inventory
JOINT COMPOUND,"Easy Sand 5, 3 lb. Setting-Type Joint Compound for Interior and Exterior Ceiling Boards",,Material,0.00000,Non Inventory
JONES VALVE,"Line Drive Blow Out Valve, 3/4"" x 3/4"" JONES VALVE",,Material,82.64000,Inventory
K14655,Tecumseh START CAPACITOR KIT,,Material:Refrigeration,156.22000,Inventory
K7146,Tecumseh RELAY KIT,,Material:Refrigeration,156.22000,Inventory
K9066,Tecumseh OVERLOAD KIT,,Material:Refrigeration,128.44000,Inventory
KROIL,Kroil Penetrant Original Aerosol 10 Oz,,Material,125.92000,Non Inventory
L120-20F,Limit Temperature Control Switch L120-20F,,Material,127.60000,Inventory
LABEL MAKER,BROTHER P-TOUCH LABEL MAKER,,Material,155.27000,Non Inventory
LADDER STRAP,"60"" Hanging Strap",,Material,0.00000,Non Inventory
LADDER-6,LADDER 6' FOR TRUCKS,,Material,189.39000,Non Inventory
LADDER-8,LADDER 8' FOR TRUCKS,,Material,253.59000,Non Inventory
"""LAG BOLT 1/4""X2""""",Ever Bilt 1/4 in. x 2 in. Hex Zinc Plated Lag Screw (100-Pack),,Material,0.00000,Non Inventory
"""LAG BOLT 3/8""X4 1/2""""",Ever Bilt 3/8 in. x 4-1/2 in. Hex Zinc Plated Lag Screw (25-Pack),,Material,0.00000,Non Inventory
LARGE BLUE WIRE NUTS,LARGE BLUE WIRE NUTS,,Material:Wire,0.00000,Non Inventory
LCO122W,"4.5"" 90° Outside Vertical Elbow - LCO122W (White)",,Material,118.72000,Inventory
LDK122W,"4.5"" White Wall Duct Kit - LDK122W (12 Ft Kit)",,Material,359.15000,Inventory
LEAK LOCK,"Leak lock R, pipe joint compound, 1-1/3 oz., plastic tube",,Material,0.00000,Non Inventory
LIGHT BULB,75-Watt Equivalent A19 Dimmable LED Light Bulb with Selectable Color Temperature (4-Pack),,Material,0.00000,Non Inventory
LINEAR BAR GRILL,LINEAR SPECIAL ORDER GRILLS CUSTOM SIZES,,Material,0.00000,Inventory
LMC,Labor Maintenance Agreement Monthly Invoice.,,,0.00000,Non Inventory
LMC Commercial,Labor Maintenance Agreement Yearly Invoice.,,,0.00000,Inventory
LMC CONTRACT,LABOR COVERED UNDER CONTRACT,,Material,0.00000,Non Inventory
LMC Residential,Labor Maintenance Agreement Yearly Billing.,,,0.00000,Non Inventory
