Customer,WO #,Invoice #,Date,Due Date,Total,Balance,Invoice Pay Status,WO Description,Summary
"""Ananos, Barbara""",1861,i1846,2026-03-12 12:00 AM,2026-04-11 12:00 AM,0.00,0.00,NON-BILLABLE,MAIN A/C- Need A/C Serviced--Bring 8ft ladder\CRNo charge per Darryl on 03/23/2026.,"PREVENTATIVE MAINTENANCE/\CRMaintenance completed by Pablo. \CRCompleted maintenance, vacuumed drain line, changed filters, checked condenser, wash conden"
"""Ananos, Mark""",1685,i1635,2026-02-18 12:00 AM,2026-03-20 12:00 AM,2939.35,2939.35,OVERDUE,Paid GOLF CAR GARAGE AREA/\CRInstallation of 1-Ton Daikin Mini Split System for this area including electrical work.\CRPaid ck #27631 on 5/4/2026 part of,"GOLF CAR GARAGE-Installed 1-ton Mini Split system for this area, started up system, and charged unit. System running normal at this time."
"""Ananos, Mark""",1686,i1641,2026-02-16 12:00 AM,2026-03-18 12:00 AM,1056.75,1056.75,OVERDUE,Paid MAINTENANCE ON 2 UNITS AND REPLACE UV BULBS AND 1 NEW UV POWER HEAD/\CRPaid ck #27631 on 5/4/2026 part of amount $4151.06.,MAINTENANCE ON 2 UNITS AND REPLACE UV BULBS AND 1 NEW UV POWER HEAD/\CRMaintenance completed. Replaced 2 Remi-Halo cells. Used Floxtreme to clean/unclog
"""Bachmann, Eviejoy & Chris""",2084,i1986,2026-05-19 12:00 AM,2026-06-18 12:00 AM,25273.00,25273.00,OVERDUE,"Paid A/C  INSTALLATION FOR THE RESIDENCE AND GARAGE AREA/ \CR1- Lennox 5ton variable output air conditioning system.  Rated at 19.0 SEER2 57,000 BTU/hr.",A/C  INSTALLATION FOR THE RESIDENCE AND GARxAGE AREA/ d6vcttb vs
"""Bachmann, Eviejoy & Chris""",2187,i2070,2026-05-22 12:00 AM,2026-06-21 12:00 AM,375.00,375.00,OVERDUE,Paid REME HALO/$375.00 \CRRe-Install existing Reme Halo w/new bulb and transformer in main house unit.\CRPaid ck #828 on 05/26/2026,REME HALO/\CRRe-Install existing Reme Halo w/new bulb and transformer in main house unit.\CR
"""Ballenisles CC-Cult, Mem Lge, Rac Cntr""",1613,i1560,2026-01-01 12:00 AM,2026-01-31 12:00 AM,550.00,550.00,OVERDUE,"Paid RSC Service Agreement monthly invoice.\CRCultural Center, Member Lounge, and Racquet Shop\CRPaid ACH on 01/9/2026 part of amount of $11070.00\CR","RSC Service Agreement monthly invoice.\CRCultural Center, Member Lounge, and Racquet Shop\CR"
"""Ballenisles CC-Cult, Mem Lge, Rac Cntr""",1706,i1654,2026-02-02 12:00 AM,2026-03-04 12:00 AM,550.00,550.00,OVERDUE,"Paid RSC Service Agreement monthly invoice.\CRCultural Center, Member Lounge, and Racquet Shop\CRPaid ACH on 2/12/2026 part of amount $60778.50\CR","RSC Service Agreement monthly invoice.\CRCultural Center, Member Lounge, and Racquet Shop\CR"
"""Ballenisles CC-Cult, Mem Lge, Rac Cntr""",1729,i1673,2026-02-04 12:00 AM,2026-03-06 12:00 AM,0.00,0.00,NON-BILLABLE,"INDEPTH A/C MAINTENANCE FOR JANUARY 2026/\CRNote: need to verify how many 16x25x1?\CRJAN, MAR, MAY, JUL, SEP,  AND NOV \CRIn-depth Service Including Filters","INDEPTH A/C MAINTENANCE FOR JANUARY 2026/\CRMaintenance completed by Sammy/Robert. \CRCleared drain lines, clean drain pans, changed filters and checked a"
"""Ballenisles CC-Cult, Mem Lge, Rac Cntr""",1826,i1761,2026-03-02 12:00 AM,2026-04-01 12:00 AM,550.00,550.00,OVERDUE,"Paid RSC Service Agreement monthly invoice.\CRCultural Center, Member Lounge, and Racquet Shop\CRPaid ACH on 03/10/2026 part of amount $11070.00. \CR","RSC Service Agreement monthly invoice.\CRCultural Center, Member Lounge, and Racquet Shop\CR"
"""Ballenisles CC-Cult, Mem Lge, Rac Cntr""",1839,i1774,2026-03-09 12:00 AM,2026-04-08 12:00 AM,0.00,0.00,NON-BILLABLE,"Filters are in the shop. \CRINDEPTH A/C MAINTENANCE FOR MARCH 2026/\CRNote: need to verify how many 16x25x1?\CRJAN, MAR, MAY, JUL, SEP,  AND NOV \CRIn-depth S","INDEPTH A/C MAINTENANCE FOR MARCH 2026/\CRMaintenance completed by Pablo.\CRCleared drain lines, cleaned drain pans, changed filters, and checked all elec"
"""Ballenisles CC-Cult, Mem Lge, Rac Cntr""",1970,i1894,2026-04-01 12:00 AM,2026-05-01 12:00 AM,550.00,550.00,OVERDUE,"Paid RSC Service Agreement monthly invoice.\CRCultural Center, Member Lounge, and Racquet Shop\CRPaid ACH on 04/03/2026 part of amount $19475.50.\CR","RSC Service Agreement monthly invoice.\CRCultural Center, Member Lounge, and Racquet Shop\CR"
"""Ballenisles CC-Cult, Mem Lge, Rac Cntr""",2086,i1990,2026-05-01 12:00 AM,2026-05-31 12:00 AM,550.00,550.00,OVERDUE,"Paid RSC Service Agreement monthly invoice.\CRCultural Center, Member Lounge, and Racquet Shop\CRPaid ACH on 5/8/2026 part of $18381.00.","RSC Service Agreement monthly invoice.\CRCultural Center, Member Lounge, and Racquet Shop\CR"
